Nombre de la evaluación,Componente ambiental,matriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Descripción de ubicación,Tipo de muestra,Norma de comparación,Parámetros que incumplen la norma,FECHA,Aluminio,Antimonio,Arsénico,Bario,Berilio,Bismuto,Boro,Cadmio,Calcio,Cerio,Cianuro libre,Cobalto,Cobre,Cromo,Cromo Hexavalente,Estaño,Estroncio,Fósforo,Hidrocarburos totales de petróleo (C10-C28),Hidrocarburos totales de petróleo (C28-C40),Hidrocarburos totales de petróleo (C5-C10),Hierro,Litio,Magnesio,Manganeso,Mercurio,Molibdeno,Níquel,Plata,Plomo,Potasio,Selenio,Sodio,Talio,Titanio,Torio,Uranio,Vanadio,Wolframio,Zinc
Shahuindo,Suelo,Nivel de fondo,SUE-Cach11,806094,9157689,17 Sur,WGS84,3199,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,28376,2.862,53,69.8,0.588,0.4285,0.622,0.1877,545,24.21,,12.2,28,14,,0.51,7.29,401,,,,32751,7.27,638,982,0.28,1.68,6.15,<0.006,42.7,1011,1.37,71,0.2794,37.9,2.945,0.7896,80,<0.0017,122
Shahuindo,Suelo,Nivel de fondo,SUE-Cach12,806052,9157659,17 Sur,WGS84,3208,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,26614,1.972,45,78.7,0.648,0.3165,0.681,0.3098,511,24.68,,13.7,21,12,,0.42,7.09,391,,,,33143,7.15,689,1078,0.21,1.19,4.68,<0.006,41.7,1003,1.53,52,0.2442,32.6,3.166,0.6908,84,<0.0017,131
Shahuindo,Suelo,Nivel de fondo,SUE-Cach13,806051,9157708,17 Sur,WGS84,3212,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,14644,0.4834,18,48.3,0.512,0.1095,<0.180,1.079,1121,22.44,,10.2,19,9,,0.11,13.4,260,,,,33088,4.31,1052,637,<0.03,0.37,3.45,<0.006,26.1,950,1.46,73,0.1226,18.5,3.973,0.4322,71,<0.0017,122
Shahuindo,Suelo,Nivel de fondo,SUE-Cach14,806024,9157690,17 Sur,WGS84,3217,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,18705,1.026,24,55.4,0.587,0.2254,0.405,0.2576,547,23.86,,9.82,18,10,,0.58,5.79,321,,,,36576,5.09,622,538,0.23,0.624,3.47,1.29,17.6,836,1.68,51,0.1681,38.9,4.651,0.5037,89,0.0706,106
Shahuindo,Suelo,Nivel de fondo,SUE-Cach15,806003,9157729,17 Sur,WGS84,3081,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,28509,3.3,64,60.7,0.61,0.4762,0.719,0.3779,582,23.87,,13,43,15,,0.66,8.84,553,,,,32385,10.9,599,864,0.26,1.87,12.6,<0.006,35,1169,1.55,68,0.3213,37.2,2.962,0.8496,86,0.0543,135
Shahuindo,Suelo,Nivel de fondo,SUE-Cach16,805996,9157772,17 Sur,WGS84,3122,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,29252,6.787,236,75.7,0.704,0.7183,1.25,0.1596,451,36.03,,10.5,24,19,,1.3,12.4,546,,,,34992,7.86,549,1431,0.21,2.27,7.71,<0.006,140,1205,1.94,68,0.4097,63,2989,1024,83,0.1116,119
Shahuindo,Suelo,Nivel de fondo,SUE-Cach17,805906,9157733,17 Sur,WGS84,3147,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,28259,2.926,50,71.3,0.665,0.4276,0.814,0.1687,571,25.59,,12.6,26,13,,0.64,7.46,492,,,,32954,7.99,606,896,0.21,1.55,6.18,<0.006,34.9,913,1.55,61,0.2864,55.1,3.221,0.7849,93,0.0028,95.3
Shahuindo,Suelo,Nivel de fondo,SUE-Cach18,805984,9157818,17 Sur,WGS84,3160,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,32205,5.252,189,84.7,0.786,0.7322,0.956,0.2282,468,33.75,,13.2,27,19,,0.94,13.7,592,,,,45163,8.64,516,3787,0.14,2.14,8.21,<0.006,82,1229,1.97,67,0.4971,62.3,3643,1122,102,0.0571,127
Shahuindo,Suelo,Nivel de fondo,SUE-Cach19,805972,9157837,17 Sur,WGS84,3166,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,28361,16.15,362,74.7,0.718,1.719,1.31,0.2263,527,38.25,,11.1,28,23,,1.9,13.1,605,,,,37754,7.62,478,1890,0.12,2.72,8.26,<0.006,239,1181,2.04,73,0.4371,61.3,2.724,1129,86,0.1583,131
Shahuindo,Suelo,Nivel de fondo,SUE-Cach20,805909,9157794,17 Sur,WGS84,3175,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,31161,4.415,94,80,0.649,0.7044,1.01,0.228,710,32.24,,12.9,27,17,,0.68,9.43,522,,,,33185,8.17,597,1824,0.11,2.47,11.5,<0.006,50.8,1298,1.75,62,0.334,57.9,2657,0.9371,85,0.0659,115
Shahuindo,Suelo,Nivel de fondo,SUE-Cach21,812581,9159949,17 Sur,WGS84,2196,"Puntos ubicados en el área de nivel de fondo, caserío de Shahuindo de Araqueda, en la propiedad del Sr. Aparicio Ulloa Barreto. Suelo sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,12052,1.433,11,115,0.821,0.1378,6.18,0.9239,>100000,14.34,,7.97,17,14,,0.68,285,727,,,,19482,9.63,2932,380,0.07,3.72,22.1,0.45,11.5,2392,1.86,29,0.259,6.24,2413,1279,63,0.6413,74.3
Shahuindo,Suelo,Nivel de fondo,SUE-Cach22,812601,9159947,17 Sur,WGS84,2197,"Puntos ubicados en el área de nivel de fondo, caserío de Shahuindo de Araqueda, en la propiedad del Sr. Aparicio Ulloa Barreto. Suelo sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,11288,1.369,10,110,0.75,0.1362,5.31,0.9673,>100000,12.83,,8.02,16,14,,0.56,356,702,,,,17061,10.3,2736,332,0.06,2.85,21.3,0.088,11.2,2180,2.21,40,0.2608,5.69,1593,1448,70,1493,66.8
Shahuindo,Suelo,Nivel de fondo,SUE-Cach23,812657,9159953,17 Sur,WGS84,2185,"Puntos ubicados en el área de nivel de fondo, caserío de Shahuindo de Araqueda, en la propiedad del Sr. Aparicio Ulloa Barreto. Suelo sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,16030,1.66,7.8,129,1.08,0.1704,5.29,1.128,85876,16.64,,10,21,18,,0.83,278,689,,,,26745,16.1,2695,471,0.04,7.2,25.6,<0.006,16.9,2763,2.6,93,0.3855,7.01,2.553,3201,83,0.1283,104
Shahuindo,Suelo,Nivel de fondo,SUE-Cach24,812614,9159021,17 Sur,WGS84,2173,"Puntos ubicados en el área de nivel de fondo, caserío de Shahuindo de Araqueda, en la propiedad del Sr. Aparicio Ulloa Barreto. Suelo sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,7861,9.698,118,149,0.784,0.5661,5.11,1.182,30056,18.99,,12,27,10,,0.61,110,763,,,,24704,6.51,1836,1089,0.06,4.49,19.1,0.339,44.3,2345,1.99,9,0.4343,5.35,1013,0.7512,37,0.2189,159
Shahuindo,Suelo,Nivel de fondo,SUE-Cach25,810310,9156021,17 Sur,WGS84,2694,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,12564,3.609,52,353,1.31,0.1567,1.06,0.4658,2082,40.91,,50.6,33,51,,0.83,13,516,,,,43495,6.65,531,4216,0.03,3.7,21.4,0.169,86.1,2062,1.63,10,0.6,9.91,2029,0.4427,63,0.0851,164
Shahuindo,Suelo,Nivel de fondo,SUE-Cach26,810301,9155966,17 Sur,WGS84,2685,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,13102,5.472,78,154,1.22,0.2196,2.51,0.3379,7175,26.38,,24.9,33,35,,1.2,35.6,596,,,,34945,7.53,713,1755,0.05,2.63,19.2,0.22,60,2182,1.91,12,0.2722,8.33,1586,0.4007,48,0.6758,154
Shahuindo,Suelo,Nivel de fondo,SUE-Cach27,810276,9156004,17 Sur,WGS84,2674,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,17860,3.796,66,537,1.85,0.1521,0.77,0.5755,1453,64.91,,71.1,45,47,,0.88,11.8,504,,,,55986,12,626,5629,<0.03,4.97,34.1,0.164,141,2217,2.39,2,0.6977,10,2718,0.6178,82,0.1391,214
Shahuindo,Suelo,Nivel de fondo,SUE-Cach28,810275,9155938,17 Sur,WGS84,2673,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,16379,3.836,64,275,1.6,0.1653,0.61,0.4627,1350,44.87,,41.3,36,56,,0.98,10.9,439,,,,51493,9.06,538,3346,<0.03,4.05,23.2,0.08,122,1909,1.75,3,0.4629,8.83,2970,0.5815,75,0.1565,222
Shahuindo,Suelo,Nivel de fondo,SUE-Cach29,810242,9155974,17 Sur,WGS84,2667,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,16425,3.985,75,302,1.65,0.1663,1.25,0.5426,1153,51.08,,51.6,40,56,,0.9,10.6,492,,,,56009,8.74,496,3920,<0.03,4.37,25.3,0.094,120,2083,2.24,21,0.4994,15.8,2786,0.6365,83,0.1356,242
Shahuindo,Suelo,Nivel de fondo,SUE-Cach30,810253,9155900,17 Sur,WGS84,2664,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,14332,3.936,62,178,1.36,0.1622,1.23,0.441,1349,39.25,,31,31,50,,0.84,11.3,456,,,,50669,7.76,517,2572,<0.03,3.63,24.4,0.076,118,2075,1.93,<1,0.3265,15.1,2703,0.4843,68,0.0517,243
Shahuindo,Suelo,Nivel de fondo,SUE-Cach31,810253,9155857,17 Sur,WGS84,2663,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,14454,2.922,32,103,1.35,0.1732,1.55,0.4606,2220,40.98,,15.2,30,29,,1.1,14.7,383,,,,33479,7.29,614,1372,0.04,2.03,18.2,0.099,68.9,2226,2.72,3,0.1963,12.6,2865,0.5312,44,0.048,265
Shahuindo,Suelo,Nivel de fondo,SUE-Cach32,810136,9155657,17 Sur,WGS84,2684,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,12627,2.555,53,143,1.24,0.1558,1.52,0.3994,1389,28.29,,23.2,33,36,,0.7,10.9,433,,,,44796,7.84,425,1811,<0.03,2.76,22.7,<0.006,42.2,1755,1.84,<1,0.2169,14.9,2459,0.5314,68,0.222,214
Shahuindo,Suelo,Nivel de fondo,SUE-Cach33,810077,9155682,17 Sur,WGS84,2694,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,11052,2.564,45,217,1.25,0.1415,2.26,0.4915,2155,29.37,,23.5,35,32,,0.7,15.5,647,,,,43109,6.91,485,2132,0.05,2.89,19.4,<0.006,51.3,1960,2.28,<1,0.2275,17.7,2.157,0.4892,67,0.1437,196
Shahuindo,Suelo,Nivel de fondo,SUE-Cach34,810019,9155697,17 Sur,WGS84,2697,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,10036,3.134,43,162,0.947,0.1704,1.55,0.2973,1339,24.72,,21.9,30,27,,0.79,11.3,368,,,,27268,5.44,319,1916,<0.03,2.21,13.8,0.038,39.6,1563,2.06,<1,0.2282,15.8,2.303,0.4672,43,0.0443,129
Shahuindo,Suelo,Nivel de fondo,SUE-Cach35,810108,9155700,17 Sur,WGS84,2695,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,8537,4.005,48,139,1.07,0.1359,1.23,0.3586,1014,20.83,,22.1,36,46,,0.8,9.2,502,,,,42810,5.04,280,1795,<0.03,3.36,19.2,0.056,55.5,1262,1.4,<1,0.1661,15.3,1.719,0.4277,61,0.1525,227
Shahuindo,Suelo,Nivel de fondo,SUE-Cach36,810118,9155722,17 Sur,WGS84,2692,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,13773,3.017,45,152,1.54,0.1912,1.37,0.734,2637,27.6,,19.6,43,34,,0.82,17.8,728,,,,43320,8.02,865,1467,0.06,3.02,23.2,0.469,46.7,2541,2.55,23,0.2104,7.42,3144,0.4438,55,0.1652,257
Shahuindo,Suelo,Nivel de fondo,SUE-Cach37,810017,9155742,17 Sur,WGS84,2702,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,12648,2.932,47,174,1.18,0.1567,1.43,0.3397,2531,23.79,,27.6,36,40,,0.68,12.5,496,,,,43373,7.48,479,2185,0.04,3.36,22.3,0.176,51.8,1870,1.72,10,0.272,12.2,1561,0.4063,58,0.229,186
Shahuindo,Suelo,Nivel de fondo,SUE-Cach38,810141,9155749,17 Sur,WGS84,2690,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,13621,3.23,59,183,1.51,0.2173,1.42,0.6017,1313,31.31,,35.2,38,51,,0.98,12.3,581,,,,55491,7.35,547,2313,<0.03,4.08,23.7,0.06,65.5,1939,2.3,<1,0.2385,15.2,2445,0.4598,80,0.0433,184
Shahuindo,Suelo,Nivel de fondo,SUE-Cach39,810120,9155771,17 Sur,WGS84,2693,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,15963,3.88,53,319,1.78,0.184,1.85,0.9009,1598,46.9,,43.6,44,48,,0.9,16.1,582,,,,54284,9.5,680,3803,<0.03,4.07,26.1,0.014,89.2,2414,2.96,7,0.4589,16.9,3019,0.4809,79,0.0551,273
Shahuindo,Suelo,Nivel de fondo,SUE-Cach40,810013,9155779,17 Sur,WGS84,2702,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,17088,3.082,72,284,1.52,0.1724,1.35,0.4386,1250,38.58,,49.9,44,48,,0.94,12.8,457,,,,50126,8.47,720,3678,0.23,3.97,28.8,0.058,127,2353,1.61,35,0.4019,12.6,2389,0.4997,71,0.1828,187
Shahuindo,Suelo,Nivel de fondo,SUE-Cach41,814318,9158710,17 Sur,WGS84,2118,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7609,3.148,68,64.2,0.866,0.3086,3.45,0.755,2684,10.86,,14.9,71,12,,0.84,21.5,541,,,,28179,6.51,1191,596,0.05,0.953,18.4,0.178,21.2,1767,1.51,27,0.2011,6.23,0.953,0.3697,17,0.0271,132
Shahuindo,Suelo,Nivel de fondo,SUE-Cach42,810110,9155852,17 Sur,WGS84,2686,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,14483,2.635,50,130,1.42,0.1653,1.08,0.2046,780,22.84,,26.6,52,45,,0.69,8.8,375,,,,41644,7.48,611,1285,<0.03,2.61,21.8,0.042,43.3,1863,1.7,<1,0.22,14.5,2044,0.4635,56,0.032,135
Shahuindo,Suelo,Nivel de fondo,SUE-Cach43,810190,9155932,17 Sur,WGS84,2670,"Punto ubicado en el área de nivel de fondo, caserío de Moyán Bajo, propiedad de la Sra. Inés María Ulloa García. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/17/17,16206,2.871,51,131,1.6,0.1689,1.77,0.271,5482,27.34,,24.7,36,47,,0.84,12.6,429,,,,47974,9.14,744,1415,0.03,2.65,24.9,0.02,65,2367,2.1,2,0.2594,10.7,2476,0.4604,58,0.0292,186
Shahuindo,Suelo,Nivel de fondo,SUE-Cach44,814329,9158665,17 Sur,WGS84,2120,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/17/17,6681,3.918,78,60,0.796,0.3119,2.73,0.7135,2364,9.695,,13.8,68,11,,0.79,18.9,454,,,,28635,5.72,1061,520,0.04,0.92,17.6,0.165,20.4,1504,1.78,10,0.1743,5,0.9704,0.3531,16,0.1009,129
Shahuindo,Suelo,Nivel de fondo,SUE-Cach45,814283,9158698,17 Sur,WGS84,2121,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7001,3.245,80,60.3,0.763,0.3135,3.38,0.6975,2256,10.16,,13.9,69,11,,0.93,19.6,394,,,,28595,5.67,1084,553,0.06,0.923,17.1,0.311,21,1593,1.62,17,0.187,7.03,0.8673,0.3278,17,0.1087,122
Shahuindo,Suelo,Nivel de fondo,SUE-Cach46,814297,9158653,17 Sur,WGS84,2123,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7345,3.633,85,64.5,0.825,0.3182,4.02,0.7164,2246,11.44,,13.8,74,12,,0.98,20.4,382,,,,29131,6.06,1075,540,0.04,0.923,17.9,0.361,22.6,1766,1.64,42,0.1949,7.72,0.9773,0.3157,18,0.0269,130
Shahuindo,Suelo,Nivel de fondo,SUE-Cach47,814247,9158683,17 Sur,WGS84,2124,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7148,3.499,79,75.2,0.848,0.3457,3.81,0.7436,2463,11.13,,19,71,12,,0.87,20.3,463,,,,28213,6.49,1129,772,0.05,0.907,18.6,0.304,21.3,1644,1.68,17,0.2497,7.34,0.9092,0.3538,18,0.0276,123
Shahuindo,Suelo,Nivel de fondo,SUE-Cach48,814267,9158638,17 Sur,WGS84,2123,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7088,3.276,74,67.2,0.854,0.3104,3.94,0.6744,2413,10.84,,14,67,11,,0.81,20.6,452,,,,27093,6.42,1096,529,0.04,0.876,17.2,0.242,20.1,1603,1.78,17,0.1887,7.73,0.9378,0.373,17,0.0292,118
Shahuindo,Suelo,Nivel de fondo,SUE-Cach49,814212,9158670,17 Sur,WGS84,2124,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,6812,3.162,77,66.7,0.875,0.2908,3.57,0.6401,2332,10.44,,14.6,72,11,,0.74,18.5,362,,,,29260,6.22,1090,549,<0.03,0.869,17.6,0.246,20,1528,1.65,33,0.1841,7.55,0.9943,0.3152,17,0.0408,121
Shahuindo,Suelo,Nivel de fondo,SUE-Cach50,814226,9158635,17 Sur,WGS84,2124,"Puntos ubicados en el área de nivel de fondo, caserío de Liclipampa Bajo, propiedad del Sr. Teófilo Espinoza Vigo",Compuesto,Ninguno,Ninguno,5/18/17,7000,3.16,88,66.3,0.844,0.2968,3.4,0.6797,2386,9451,,15.8,76,12,,0.81,20.6,370,,,,29989,6.34,1173,597,0.04,0.875,19.5,0.243,22.1,1211,1.76,31,0.1741,7.59,1011,0.324,18,0.0294,126
