Nombre de la Evaluación,NOMBRE,FECHA,LOCALIDAD,METODOLOGIA,CIENCIA,ESTUDIO,ESPECIE,GENERO,FAMILIA,ORDEN,CLASE,PHYLUM,REINO
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pourouma guianensis,Pourouma,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pouteria durlandii,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pouteria sp. 1,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pseudolmedia laevis,Pseudolmedia,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pterocarpus amazonum,Pterocarpus,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Rinorea viridifolia,Rinorea,Violaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ruizodendrum ovale,Ruizodendrum,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sapindacea sp. 1,Sapindacea,Sapindaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sapium marmieri,Sapium,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sorocea pileata,Sorocea,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Swartzia arborescens,Swartzia,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Swartzia myrtifolia,Swartzia,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Swartzia polyphylla,Swartzia,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Tabebuia sp. 1,Tabebuia,Bignoniaceae,Lamiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Tapirira obtusa,Tapirira,Anacardiaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Theobroma speciosum,Theobroma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Virola flexuosa,Virola,Myristicaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Vochysia lomatophylla,Vochysia,Vochysiaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Zanthoxylum impressinervum,Zanthoxylum,Rutaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Aiouea grandifolia,Aiouea,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Alchornea acutifolia,Daphnia,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Aniba sp. 1,Aniba,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Apeiba membranacea,Apeiba,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Astrocaryum chambira,Astrocaryum,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Batocarpus amazonicus,Batocarpus,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Calyptranthes densiflora,Calyptranthes,Myrtaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Caryocar glabrum,Caryocar,Caryocaraceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cathedra acuminata,Cathedra,Olacaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cavanillesia umbellata,Cavanillesia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cecropia membranacea,Cecropia,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cecropia multiflora,Cecropia,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cecropia sciadophylla,Cecropia,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chrysophyllum argenteum,Chrysophyllum,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chrysophyllum gonocarpum,Chrysophyllum,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cremastosperma pendulum,Cremastosperma,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Crepidospermun goudotianum,Crepidospermun,Burseraceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Croton tessmannii,Croton,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Dalbergia frutescens,Dalbergia,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Dendropanax arboreus,Dendropanax,Araliaceae,Apiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Drypetes amazonica,Drypetes,Putranjivaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Eschweilera bracteosa,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Euterpe precatoria,Euterpe,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guapira floribunda,Guapira,Nyctaginaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guarea fistulosa,Guarea,Meliaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guarea kunthiana,Guarea,Meliaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guarea pterorhachis,Guarea,Meliaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guatteria dura,Guatteria,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guatteria hirsuta,Guatteria,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guatteria phanerocampta,Guatteria,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guatteria riparia,Guatteria,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guazuma ulmifolia,Guazuma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Helicostylis sp. 1,Helicostylis,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Himatanthus sucuuba,Himatanthus,Apocynaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,No determinado 42,No determinado,No determinado,No determinado,No determinado,No determinado,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Inga marginata,Inga,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Iriartea deltoidea,Iriartea,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Isertia rosea,Isertia,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Isertia sp. 1,Isertia,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Jacaratia digitata,Jacaratia,Caricaceae,Brassicales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Lauracea sp. 1,Lauracea,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Lecointea amazonica,Lecointea,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Licania brittoniana,Licania,Chrysobalanaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Machaerium floribundum,Machaerium,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Machaerium mutissi,Machaerium,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Matisia cordata,Matisia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ochroma pyramidale,Ochroma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pachira aquatica,Pachira,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Platymiscium pinnatum,Platymiscium,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sapium marmieri,Sapium,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Trema micrantha,Trema,Ulmaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Vatairea guianensis,Vatairea,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Vismia floribunda,Vismia,Hypericaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Allophylus floribundus,Allophylus,Sapindaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Apeiba tibourbou,Apeiba,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cecropia multiflora,Cecropia,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ceiba samauma,Ceiba,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chimarrhis hookeri,Chimarrhis,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chimarrhis sp. 1,Chimarrhis,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Eugenia florida,Eugenia,Myrtaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Guazuma ulmifolia,Guazuma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Inga cayennensis,Inga,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Inga edulis,Inga,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Inga sp. 1,Inga,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,Lacmellea peruviana,Lacmellea,Apocynaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-02,-,Aguaytillo,Parcelas por árboles,Botánica,-,No determinado 45,No determinado,No determinado,No determinado,No determinado,No determinado,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Matisia cordata,Matisia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Nealchornea yapurensis,Nealchornea,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Nectandra pulverulenta,Nectandra,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ocotea camphoromoea,Ocotea,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ormosia paraensis,Ormosia,Tipulidae,Diptera,Insecta,Arthropoda,Animalia
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Otoba parvifolia,Otoba,Myristicaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pachira sp.,Pachira,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pentagonia parvifolia,Pentagonia,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Porcelia nitidifolia,Porcelia,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Poulsenia armata,Poulsenia,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pourouma cecropiifolia,Pourouma,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pourouma guianensis,Pourouma,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pourouma sp. 1,Pourouma,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pouteria caimito,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Protium nodulosum,Protium,Burseraceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Protium pittieri,Protium,Burseraceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Protium sp. 1,Protium,Burseraceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pseudolmedia laevis,Pseudolmedia,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Rinorea viridifolia,Rinorea,Violaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Senefeldera inclinata,Senefeldera,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sorocea briquetii,Sorocea,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Sterculia apetala,Sterculia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Tabebuia obscura,Tabebuia,Bignoniaceae,Lamiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Tachigali sp. 1,Tachigali,Fabaceae,Fabales,Eudicotyledoneae,Angiospermae,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Theobroma cacao,Theobroma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Theobroma speciosum,Theobroma,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Trophis caucana,Trophis,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Urera caracasana,Urera,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Agouticarpa velutina,Agouticarpa,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Allophylus floribundus,Allophylus,Sapindaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Allophylus glabratus,Allophylus,Sapindaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Aniba guianensis,Aniba,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Annonacea sp. 1,Annonacea,Annonaceae,Magnoliales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Aptandra tubicina,Aptandra,Putranjivaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Astrocaryum chambira,Astrocaryum,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Attalea cephalotes,Attalea,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Batocarpus costaricensis,Batocarpus,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Brosimum alicastrum,Brosimum,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Calatola sp. 1,Calatola,Icacinaceae,Icacinales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Caryocar amygdaliforme,Caryocar,Caryocaraceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Casearia combaymensis,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Casearia silvestris,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cavanillesia umbellata,Cavanillesia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cecropia membranacea,Cecropia,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Celtis schippii,Celtis,Cannabaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chimarrhis hookeri,Chimarrhis,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chrysochlamys ulei,Chrysochlamys,Clusiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Chrysophyllum venezuelanense,Chrysophyllum,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Clarisia racemosa,Clarisia,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-04,-,Aguaytillo,Parcelas por árboles,Botánica,-,Cordia alliodora,Cordia,Boraginaceae,Lamiales,Magnoliopsida,Magnoliophyta,Plantae
