Nombre de evaluación,Componente ambiental,matriz,Submatriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Descripción de ubicación,Tipo de muestra,Norma de comparación,Parámetros que incumplen la norma,FECHA,Aceites y grasas,Aluminio,Aluminio disuelto,Amoniaco,Antimonio,Antimonio disuelto,Arsénico,Arsénico disuelto,Bario,Bario disuelto,Berilio,Berilio disuelto,Bicarbonatos,Bismuto,Bismuto disuelto,Boro,Boro disuelto,Cadmio,Cadmio disuelto,Calcio,Calcio disuelto,Carbonatos,Caudal,Cerio,Cianuro libre,Cianuro Total,Cianuro Wad,Clorofila a,Cloruros,Cobalto,Cobalto disuelto,Cobre,Cobre disuelto,Conductividad,Cromo,Cromo disuelto,Cromo Hexavalente,Cromo Hexavalente Total,Demanda Química de Oxígeno (DQO),Estaño,Estaño disuelto,Estroncio,Estroncio disuelto,Fosfatos,Fósforo,Fósforo disuelto,Hidrocarburos totales de petróleo (C10-C40),Hidrocarburos totales de petróleo (C6-C10),Hidrocarburos totales de petróleo (C6-C40),Hierro,Hierro disuelto,Litio,Litio disuelto,Magnesio,Magnesio disuelto,Manganeso,Manganeso disuelto,Mercurio,Mercurio disuelto,Mercurio Total,Molibdeno,Molibdeno disuelto,Níquel,Níquel disuelto,Nitratos (NO3-N) + Nitritos (NO2-N),Nitratos (NO3-N),Nitrógeno Amoniacal,Nitrógeno Total,Oxígeno Disuelto,pH,Plata,Plata disuelto,Plomo,Plomo disuelto,Potasio,Potasio disuelto,Potencial de hidrogeno,Potencial de Neutralización Sobek,Potencial de óxido reducción (ORP),Selenio,Selenio disuelto,Silicio,Silicio disuelto,Sodio,Sodio disuelto,Sólidos Suspendidos Totales (SST),Sólidos Disueltos Totales (SDT),Sulfato Total,Sulfatos,Sulfuro Total,Sulfuros,Talio,Talio disuelto,Temperatura,Titanio,Titanio disuelto,Uranio,Uranio disuelto,Vanadio,Vanadio disuelto,Zinc,Zinc disuelto,4-4῾DDD,4-4῾DDE,4-4῾DDT,4-4῾DDD_,4-4῾DDE_,4-4῾DDT_,Albicarb (parental),Albicarb sulfona,Albicarb sulfóxido,Aldrín,Alfa-BHC (Hexacloruro de Benceno),Beta-BHC (Hexacloruro de Benceno),Chlordane,Coliformes termotolerantes,Delta-BHC (Hexacloruro de Benceno),Dieldrin,Dimethoate,Disulfoton,Endosulfan I,Endosulfan Ii,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Endrin Ketone,EPN (Ethyl p-nitrophenyl),Famphur (Famophos),Gamma-BHC (Lindano),Heptaclor,Heptaclor Epoxide,Malathion,Methoxychlor,Methyl Parathion,Nitritos (NO2-N),"O,O,O-Triethyphosphoticate",Parathion,Phorate,Sulfotep,Thionazin
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QPapa1,793528,9230916,17 Sur,WGS84,3909,"Quebrada Papacuay, a 10 m aproximadamente de la salida de la laguna Papacuay y del centro poblado La Chorrera",Simple,ECA agua 2015 y 2017,pH,26/10/2017,,0.025,<0.002,,<0.00004,<0.00004,0.00039,0.00036,0.0069,0.0063,<0.00002,<0.00002,69.7,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,30.38,28.89,7,,,<0.001,<0.001,<0.001,,<0.21,<0.00001,<0.00001,0.00047,<0.00003,0,<0.0001,<0.0001,<0.002,,6,<0.00003,<0.00003,0.0903,0.0857,,<0.015,<0.015,,,,0.0202,<0.0004,<0.0001,<0.0001,0.863,0.831,0.00512,0.00241,<0.00003,<0.00003,0.007,0.00056,0.00054,0.0005,<0.0002,,<0.002,<0.004,0.061,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.2,0.16,0,,,<0.0004,<0.0004,,,0.872,0.829,<0.005,110,4,10.4,<0.009,<0.001,,<0.00002,0,<0.0002,<0.0002,,,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QPunr1,800083,9225813,17 Sur,WGS84,3393,"Quebrada Punre, a 200 m aproximadamente aguas arriba de la confluencia con la quebrada Milpo, en el caserío El Punre",Simple,ECA agua 2015 y 2017,Ninguno,28/10/2017,,0.332,0.104,,0.00048,0.00035,0.00118,0.00061,0.0122,0.0098,<0.00002,<0.00002,8.4,<0.00002,<0.00002,<0.002,<0.002,0.0001,<0.00001,3.72,3.61,<0.6,,,<0.001,<0.001,<0.001,,<0.21,0.00051,0.00029,0.01092,0.00837,0,<0.0001,<0.0001,<0.002,,20,<0.00003,<0.00003,0.0191,0.0185,,0.02,<0.015,,,,0.5835,0.1524,<0.0001,<0.0001,0.518,0.491,0.04353,0.02527,<0.00003,<0.00003,0.017,<0.00002,<0.00002,0.0014,0.0006,,0.256,0.011,0.396,0,,<0.000003,<0.000003,0.0012,<0.0002,0.52,0.41,0,,,<0.0004,<0.0004,,,0.487,0.48,0.013,18,11,10.1,0.058,<0.001,,<0.00002,0,0.0015,<0.0002,,,<0.0001,<0.0001,0.0177,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QPunr2,800379,9225795,17 Sur,WGS84,3344,"Quebrada Punre, a 120 m aproximadamente aguas abajo de la confluencia de las quebradas Punre y Milpo",Simple,ECA agua 2015 y 2017,pH,28/10/2017,,0.275,0.064,,0.00035,0.00022,0.00143,0.00073,0.0116,0.0097,<0.00002,<0.00002,99.5,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,30.99,29.41,<0.6,,,<0.001,<0.001,<0.001,,<0.21,0.0004,0.00015,0.01229,0.00706,0,<0.0001,<0.0001,<0.002,,12,<0.00003,<0.00003,0.048,0.0452,,0.043,<0.015,,,,0.4746,0.0991,<0.0001,<0.0001,1153,1106,0.03566,0.01138,<0.00003,<0.00003,0.042,0.0002,0.0002,0.0009,<0.0002,,0.645,0.017,0.929,0,,<0.000003,<0.000003,0.0012,<0.0002,0.56,0.42,0,,,<0.0004,<0.0004,,,0.425,0.408,0.021,96,13,<0.5,0.146,<0.001,,<0.00002,0,0.0014,<0.00002,,,<0.0001,<0.0001,0.0128,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QQuin1,798091,9227038,17 Sur,WGS84,3752,"Quebrada Quinuacucho, aproximadamente a 50 m aguas arriba de la carretera que une el caserío El Punre con el PM El Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),26/10/2017,,0.138,0.102,,<0.00004,<0.00004,0.00697,0.00442,0.0029,0.0029,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.5,0.5,<0.6,,,<0.001,<0.001,<0.001,,<0.21,<0.00001,<0.00001,0.0019,0.00143,0,<0.0001,<0.0001,<0.002,,10,<0.00003,<0.00003,0.0023,0.0022,,<0.015,<0.015,,,,0.42,0.2451,<0.0001,<0.0001,0.058,0.058,0.00935,0.00924,<0.00003,<0.00003,<0.007,<0.00002,<0.00002,0.0007,<0.0002,,<0.002,0.009,0.114,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.07,<0.04,0,,,<0.0004,<0.0004,,,<0.006,<0.006,0.011,8,4,<0.5,<0.009,<0.001,,<0.00002,0,<0.0002,<0.0002,,,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,QYana1,795101,9225078,17 Sur,WGS84,3631,"Quebrada Yanacocha, aproximadamente a 80 m después de la confluencia con la quebrada Lipiac, en el caserío Chamcas.",Simple,ECA agua 2015 y 2017,Ninguno,27/10/2017,,0.171,0.081,,<0.00004,<0.00004,<0.00003,<0.00003,0.0117,0.0113,<0.00002,<0.00002,1.8,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,1.71,1.64,<0.6,,,<0.001,<0.001,<0.001,,<0.21,<0.00001,<0.00001,0.00107,<0.00003,0,<0.0001,<0.0001,<0.002,,<2,<0.00003,<0.00003,0.0077,0.0076,,<0.015,<0.015,,,,0.1923,0.0832,<0.0001,<0.0001,0.363,0.351,0.06836,0.06614,<0.00003,<0.00003,<0.007,<0.00002,<0.00002,0.0016,0.0007,,<0.035,0.005,0.097,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.27,0.24,0,0,,<0.0004,<0.0004,,,0.26,0.244,0.006,12,<2,8.3,<0.008,<0.001,,<0.00002,0,<0.0002,<0.0002,,,<0.0001,<0.0001,0.021,0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,FNat2,797882,9229052,17 Sur,WGS84,3820,Afloramiento ubicado aproximadamente a 380 m al noreste de la I.E. N.° 821461 del caserío Santa Rosa de Milpo.,Simple,ECA agua 2015 y 2017,Ninguno,12/03/2018,,0.161,0.01,,<0.00004,<0.00004,<0.00003,<0.00003,0.0251,0.0222,<0.00002,<0.00002,249,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,75.03,73.72,,,,,,,,<0.061,<0.00001,<0.00001,0.00052,<0.00003,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.2478,0.2378,,0.04,<0.015,,,,0.298,<0.0004,0.002,0.0019,4.264,4.051,0.00509,0.00287,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,,0,,<0.000003,<0.000003,0.0005,<0.0002,0.55,0.45,0,,,<0.0004,<0.0004,,,0.706,0.706,4,260,,5.711,,,<0.00002,<0.00002,0,0.0014,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de manantial,FNat3,798431,9229055,17 Sur,WGS84,3771,Afloramiento ubicado aproximadamente a 860 m al este de la I.E. N.° 821461 del caserío Santa Rosa de Milpo.,Simple,ECA agua 2015 y 2017,OD,12/03/2018,,0.054,0.021,,<0.00004,<0.00004,0.00127,0.00097,0.0262,0.0244,<0.00002,<0.00002,192,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,53.96,53.96,,,,,,,,0.198,<0.00001,<0.00001,0.00064,0.0004,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.063,0.0627,,0.07,<0.015,,,,0.1543,0.0715,<0.0001,<0.0001,7.341,7.102,0.05191,0.0479,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.25,0.14,0,,,<0.0004,<0.0004,,,0.229,0.224,<2,204,,7.886,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de afloramiento,FNat7,797453,9228678,17 Sur,WGS84,3818,Afloramiento ubicado aproximadamente a 210 m al oeste de la I.E. N.° 821461 del caserío Santa Rosa de Milpo.,Simple,ECA agua 2015 y 2017,"pH, Al, Ca, Fe, Pb (2017 y 2018 y Mg (2017)",12/03/2018,,1.437,1.346,,<0.00004,<0.00004,<0.00003,<0.00003,0.0377,0.0366,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,0.0038,0.00372,2.35,2.35,,,,,,,,<0.061,0.00331,0.00325,0.01569,0.01493,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0054,0.0054,,0.04,<0.015,,,,0.4822,0.4254,<0.0001,<0.0001,0.231,0.231,0.18524,0.17763,<0.00003,<0.00003,,<0.00002,<0.00002,0.0037,0.0028,,<0.009,,,0,,<0.000003,<0.000003,0.1348,0.1209,1.72,1.59,0,,0,<0.0004,<0.0004,,,0.166,0.166,<2,70,,17.19,,,0.00266,0.00253,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,0.468,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de afloramiento,FNat8,797446,9228853,17 Sur,WGS84,3815,Afloramiento ubicado aproximadamente a 280 m al noroeste de la I.E. N.° 821461 del caserío Santa Rosa de Milpo.,Simple,ECA agua 2015 y 2017,OD (2018),12/03/2018,,0.042,0.012,,<0.00004,<0.00004,<0.00003,<0.00003,0.02,0.0198,<0.00002,<0.00002,112.9,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,37.67,37.67,,,,,,,,<0.061,<0.00001,<0.00001,0.00087,0.00049,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0679,0.0679,,<0.015,<0.015,,,,0.0325,0.0115,<0.0001,<0.0001,0.759,0.759,0.00828,0.00534,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,0.381,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,1.36,1.32,0,,,<0.0004,<0.0004,,,0.256,0.256,<2,126,,9.516,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,0.0516,0.0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de afloramiento,FNatu4,798633,9227235,17 Sur,WGS84,3657,Afloramiento ubicado aproximadamente a 280 m al sur de la descarga de la laguna Muyoc.,Simple,ECA agua 2015 y 2017,OD (2017 y 2018),13/03/2018,,0.02,<0.002,,<0.00004,<0.00004,<0.00003,<0.00003,0.0293,0.0269,<0.00002,<0.00002,320.5,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,99.17,97.94,,,,,,,,0.13,<0.00001,<0.00001,0.00362,0.00271,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.2197,0.2109,,0.06,<0.015,,,,0.0195,<0.0004,<0.0001,<0.0001,3.176,3.05,0.0021,0.00131,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,0.956,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.38,0.27,0,,0,<0.0004,<0.0004,,,0.636,0.604,<2,322,,5.27,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de afloramiento,FNatu5,798430,9227843,17 Sur,WGS84,3699,Afloramiento ubicado aproximadamente a 70 m al noroeste de la quebrada Muyoc y de la laguna del mismo nombre.,Simple,ECA agua 2015 y 2017,OD (2018),13/03/2018,,0.017,0.017,,<0.00004,<0.00004,<0.00003,<0.00003,0.0189,0.018,<0.00002,<0.00002,274.7,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,84.59,81.61,,,,,,,,0.499,<0.00001,<0.00001,<0.00003,<0.00003,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0996,0.0967,,<0.015,<0.015,,,,0.02,0.02,<0.0001,<0.0001,2.287,2.206,0.00121,0.00087,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,0.713,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.59,0.52,0,,0,<0.0004,<0.0004,,,0.432,0.408,<2,258,,0.94,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua subterránea,Agua subterránea de afloramiento,FNatu6,798410,9227603,17 Sur,WGS84,3692,Afloramiento ubicado aproximadamente a 120 m al noroeste de la laguna Muyoc.,Simple,ECA agua 2015 y 2017,OD (2017 y 2018) y DBQO (2017),13/03/2018,,0.021,<0.002,,<0.00004,<0.00004,<0.00003,<0.00003,0.0312,0.0282,<0.00002,<0.00002,308.8,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,98.16,95.95,,,,,,,,0.204,<0.00001,<0.00001,0.00041,0.00041,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.5321,0.5005,,0.034,<0.015,,,,0.0157,<0.0004,<0.0001,<0.0001,3.273,3.17,0.01115,0.00993,<0.00003,<0.00003,,<0.00002,<0.00002,0.0006,<0.0002,,0.102,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.38,0.3,0,,0,<0.0004,<0.0004,,,0.412,0.412,<2,302,,1.333,,,0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LDCol1,795759,9228742,17 Sur,WGS84,3794,"Laguna Dos Colores, aproximadamente a 200 m al este del vertimiento de agua residual doméstica del campamento del PM El Galeno.",Simple,ECA agua 2015 y 2017,pH y Cu (2017 y 2018),17/03/2018,,0.305,0.293,,<0.00004,<0.00004,0.00046,0.00043,0.0052,0.0052,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.38,0.38,,,,,,,,0.166,0.00081,0.00078,0.12335,0.11775,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0031,0.0031,,<0.015,<0.015,,,,0.1372,0.1072,<0.0001,<0.0001,0.106,0.103,0.0058,0.0058,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,0.075,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.37,0.36,0,,,<0.0004,<0.0004,,,0.396,0.371,<2,19,,4.661,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,LDCol2,795947,9228799,17 Sur,WGS84,3794,"Curso de agua que conecta el sector oeste con el este de la laguna Dos Colores, aproximadamente a 450 m del PM El Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),17/03/2018,,0.322,0.297,,<0.00004,<0.00004,0.00069,0.00039,0.005,0.0049,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.44,0.44,,,,,,,,0.168,0.0008,0.00075,0.12439,0.11952,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0029,0.0029,,0.049,<0.015,,,,0.1733,0.0983,<0.0001,<0.0001,0.112,0.108,0.0059,0.0059,<0.00003,<0.00003,,<0.00002,<0.00002,0.0007,<0.0002,,0.058,,,0,,<0.000003,<0.000003,0.0005,0.0004,0.44,0.33,0,,,<0.0004,<0.0004,,,0.426,0.4,<2,18,,5.98,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LDCol3,796048,9228929,17 Sur,WGS84,3792,"Laguna Dos Colores, aproximadamente a 650 m al noreste del campamento del PM EL Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),17/03/2018,,0.269,0.262,,<0.00004,<0.00004,<0.00003,<0.00003,0.0043,0.0043,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.39,0.39,,,,,,,,0.148,0.0007,0.0007,0.0815,0.0815,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0024,0.0024,,<0.015,<0.015,,,,0.0841,0.0808,<0.0001,<0.0001,0.091,0.091,0.0052,0.0052,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.035,,,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.33,0.33,0,,,<0.0004,<0.0004,,,0.32,0.32,<2,16,,5.245,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de ríos y quebradas,LKero1,795616,9227323,17 Sur,WGS84,3892,"Descarga de la laguna Kerosene, aproximadamente a 510 m al noreste de la garita de control (Bravo 4) del PM El Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),21/03/2018,,0.138,0.138,,<0.00004,<0.00004,<0.00003,<0.00003,0.0045,0.0045,<0.00002,<0.00002,2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.31,0.31,,,,,,,,0.153,<0.00001,<0.00001,0.02505,0.02505,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0012,0.0012,,0.027,<0.015,,,,0.0959,0.0959,<0.0001,<0.0001,0.088,0.088,0.00675,0.00675,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,,0,,<0.000003,<0.000003,0.0012,0.0012,0.23,0.21,0,,,<0.0004,<0.0004,,,0.129,0.129,<2,6,,0.825,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LKero2,795798,9227283,17 Sur,WGS84,3891,"Laguna Kerosene, aproximadamente a 180 m al este de la descarga de la laguna.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),21/03/2018,,0.102,0.093,,<0.00004,<0.00004,<0.00003,<0.00003,0.0038,0.0035,<0.00002,<0.00002,2.8,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.19,0.19,,,,,,,<0.003,0.179,<0.00001,<0.00001,0.01441,0.01402,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,<0.0002,<0.0002,<0.009,<0.015,<0.015,,,,0.0795,0.0795,<0.0001,<0.0001,0.064,0.064,0.00382,0.00382,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,<0.024,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.09,0.09,0,,,<0.0004,<0.0004,,,<0.006,<0.006,<2,6,,0.818,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LKero3,795687,9227192,17 Sur,WGS84,3891,"Laguna Kerosene, aproximadamente a 120 m al sureste de la descarga de la laguna.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),21/03/2018,,0.104,0.083,,<0.00004,<0.00004,<0.00003,<0.00003,0.0045,0.0034,<0.00002,<0.00002,4.1,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.22,0.22,,,,,,,<0.003,0.143,<0.00001,<0.00001,0.01563,0.01345,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0009,0.0009,<0.009,0.02<0.007,<0.015,,,,0.0894,0.0523,<0.0001,<0.0001,0.074,0.069,0.00431,0.00415,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,0.062,0,,<0.000003,<0.000003,<0.0002,<0.0002,0.17,0.09,0,,,<0.0004,<0.0004,,,0.11,0.11,<2,6,,0.626,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LKero4,795638,9227309,17 Sur,WGS84,3891,"Laguna Kerosene, aproximadamente a 5 m de la descarga de la laguna.",Simple,ECA agua 2015 y 2017,pH,21/03/2018,,0.133,0.133,,<0.00004,<0.00004,<0.00003,<0.00003,0.0058,0.0058,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.34,0.34,,,,,,,<0.003,0.137,<0.00001,<0.00001,0.03308,0.03308,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,<0.0002,0.0024,<0.009,0.028<0.007,<0.015,,,,0.0841,0.0539,<0.0001,<0.0001,0.101,0.101,0.00596,0.00596,<0.00003,<0.00003,,<0.00002,<0.00002,<0.0002,<0.0002,,<0.009,,<0.024,0,,<0.000003,<0.000003,<0.0002,0.0055,0.23,0.16,0,,,<0.0004,<0.0004,,,<0.006,0.453,<2,6,,0.903,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMilp1,796967,9228179,17 Sur,WGS84,3770,"Laguna Milpo, aproximadamente a 530 m al noroeste de la garita de control (Bravo 3) del PM El Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),16/03/2018,,0.217,0.189,,<0.00004,<0.00004,0.00059,0.00053,0.0057,0.0048,<0.00002,<0.00002,<1.2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.74,0.56,,,,,,,,<0.061,0.00067,0.00062,0.0745,0.0707,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0034,0.0034,,0.03,<0.015,,,,0.1351,0.1213,<0.0001,<0.0001,0.14,0.135,0.00893,0.00893,<0.00003,<0.00003,,<0.00002,<0.00002,0.0007,<0.0002,,<0.035,,,0,,<0.000003,<0.000003,0.0007,0.0003,0.53,0.52,0,,,<0.0004,<0.0004,,,0.427,0.427,<2,14,,5.046,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeno,Agua,Agua superficial,Agua superficial de lagos y lagunas,LMilp2,797266,9228088,17 Sur,WGS84,3770,"Laguna Milpo, aproximadamente a 390 m al norte de la garita de control (Bravo 3) del PM El Galeno.",Simple,ECA agua 2015 y 2017,pH (2017 y 2018),16/03/2018,,0.212,0.182,,<0.00004,<0.00004,<0.00003,<0.00003,0.0053,0.0052,<0.00002,<0.00002,2,<0.00002,<0.00002,<0.002,<0.002,<0.00001,<0.00001,0.39,0.39,,,,,,,,<0.061,0.00064,0.00059,0.07357,0.0699,0,<0.0001,<0.0001,,,,<0.00003,<0.00003,0.0037,0.0037,,0.036,<0.015,,,,0.1391,0.1105,<0.0001,<0.0001,0.145,0.145,0.00916,0.00916,<0.00003,<0.00003,,<0.00002,<0.00002,0.0007,<0.0002,,<0.035,,,0,,<0.000003,<0.000003,0.0005,<0.0002,0.53,0.53,0,,,<0.0004,<0.0004,,,0.412,0.412,<2,30,,4.993,,,<0.00002,<0.00002,0,<0.0002,<0.0002,<0.000003,<0.000003,<0.0001,<0.0001,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
